ID,UTMX,UTMY,Genus
602,371726.3182,9929293.657,Callicebus
603,371660.8639,9929266.919,Callicebus
604,372340.211,9929641.423,Callicebus
605,371956.9829,9929501.083,Callicebus
606,371955.4741,9929499.817,Callicebus
607,371834.4677,9929388.01,Callicebus
608,371952.7902,9929691.235,Callicebus
609,371947.496,9929578.879,Callicebus
610,371952.0651,9929508.582,Callicebus
611,371769.7422,9929501.051,Callicebus
612,371951.3626,9929541.165,Callicebus
613,371874.4219,9929405.75,Callicebus
614,371640.4492,9929331.688,Callicebus
615,371816.7369,9929337.702,Callicebus
616,371808.0875,9929376.717,Callicebus
617,371799.3475,9929342.466,Callicebus
618,371569.8795,9929285.454,Callicebus
619,371953.5651,9929511.18,Callicebus
620,371750.8425,9929467.811,Callicebus
621,371709.0325,9929356.212,Callicebus
622,372281.6441,9929491.054,Callicebus
623,371727.7997,9929479.409,Callicebus
624,371433.3081,9929415.746,Callicebus
625,371429.9922,9929371.161,Callicebus
626,371841.94,9929403.045,Callicebus
627,371412.0377,9929506.058,Callicebus
628,371708.5791,9929590.341,Callicebus
629,371651.5695,9929321.871,Callicebus
630,371825.3709,9929457.801,Callicebus
631,371645.3602,9929305.092,Callicebus
632,371698.8529,9929332.682,Callicebus
633,372312.3216,9929461.37,Callicebus
634,371941.2721,9929630.911,Callicebus
635,371952.5419,9929577.909,Callicebus
636,371621.9221,9929354.661,Callicebus
637,371996.6752,9929552.97,Callicebus
638,371996.6752,9929552.97,Callicebus
639,371990.9394,9929544.779,Callicebus
640,371958.7454,9929605.537,Callicebus
641,372012.8581,9929624.387,Callicebus
642,371687.1969,9929307.68,Callicebus
643,372004.5949,9929612.638,Callicebus
644,371754.5269,9929324.353,Callicebus
645,371761.7892,9929325.397,Callicebus
646,371887.23,9929599.466,Callicebus
647,371641.6249,9929350.209,Callicebus
648,371944.1984,9929452.204,Callicebus
649,371557.0409,9929294.139,Callicebus
650,371852.7134,9929508.298,Callicebus
651,371881.1765,9929638.522,Callicebus
652,371677.0325,9929344.088,Callicebus
653,371854.0462,9929459.077,Callicebus
654,371826.0202,9929439.83,Callicebus
655,371661.9058,9929272.828,Callicebus
656,371968.2557,9929666.115,Callicebus
657,371634.197,9929344.281,Callicebus
658,371699.9795,9929294.763,Callicebus
659,371758.3878,9929362.868,Callicebus
660,371960.3252,9929596.14,Callicebus
661,371572.8642,9929280.024,Callicebus
662,371971.376,9929458.826,Callicebus
663,371642.9423,9929283.672,Callicebus
664,371642.9423,9929283.672,Callicebus
665,371642.9423,9929283.672,Callicebus
666,371642.9423,9929283.672,Callicebus
667,371968,9929483,Callicebus
668,371870.128,9929482.38,Callicebus
669,371967.1009,9929667.928,Callicebus
670,371959.427,9929636.966,Callicebus
671,371969.7596,9929505.506,Callicebus
672,371969.7596,9929505.506,Callicebus
673,372149.7846,9929618.706,Callicebus
674,371644.1249,9929358.003,Callicebus
675,371715.4386,9929301.683,Callicebus
676,371953.147,9929555.73,Callicebus
677,371955.7113,9929525.03,Callicebus
678,371710.2669,9929306.21,Callicebus
679,371744.8851,9929335.844,Callicebus
680,371749.5459,9929323.917,Callicebus
681,372272,9929787.5,Cebus
682,372274.4,9929787.8,Cebus
683,372323.7,9929628.3,Cebus
684,371457.8,9929716.8,Cebus
685,371888.8,9929859.7,Cebus
686,372018.5,9929633.8,Cebus
687,371876.9,9929858.6,Cebus
688,371526.9,9929552.9,Cebus
689,371615.8,9929491.8,Cebus
690,371679.2,9929822.1,Cebus
691,371880.9,9929870,Cebus
692,371816.2,9929773.2,Cebus
693,371741.3,9929781,Cebus
694,371633.4,9929355.3,Cebus
695,371427.9,9929956.9,Cebus
696,371088.3,9929518.4,Cebus
697,370699.3,9929747.6,Cebus
698,371485.5,9929752.5,Cebus
699,371877.587,9930045.574,Cebus
700,371870,9929841.8,Cebus
701,371246.9,9929581.6,Cebus
702,371223.9,9929562.3,Cebus
703,372089.8,9929838.9,Cebus
704,372213,9929704.2,Cebus
705,372142.3,9929622.1,Cebus
706,372217.6,9929908.6,Cebus
707,372109.4,9929797.2,Cebus
708,371984.1,9929709.6,Cebus
709,371324,9930065.7,Cebus
710,371367.9,9929430.6,Cebus
711,371430.8,9929640.9,Cebus
712,371371.9,9929411.1,Cebus
713,371099,9930065.7,Cebus
714,371871.3,9929608.3,Cebus
715,372169.1,9929636.9,Cebus
716,372367.4623,9929305.3,Cebus
717,371904.1,9929781.5,Cebus
718,372072.8,9929769.9,Cebus
719,372129,9929750.4,Cebus
720,372160.8,9929655.1,Cebus
721,371955.6,9929777.6,Cebus
722,372067.2,9929773.1,Cebus
723,372242.9,9929206.8,Cebus
724,372287.9287,9929166.765,Cebus
725,372323.2,9929143.7,Cebus
726,372362.1,9929309.8,Cebus
727,371996.6,9929788.1,Cebus
728,371995.9,9929800.8,Cebus
729,371891.7,9929586.2,Cebus
730,372443.6,9929239.6,Cebus
731,371223.9,9929562.3,Cebus
732,371240,9929581.4,Cebus
733,371165,9929777,Cebus
734,371294.0453,9929881.169,Cebus
735,371737.3,9929491.2,Cebus
736,371831.2,9929504.8,Cebus
737,371402.9,9929581.6,Cebus
738,371819.6,9929657.4,Cebus
